BNF_CODE,CHEMICAL_SUBSTANCE_BNF_DESCR,BNF_DESCRIPTION,BNF_CHAPTER_PLUS_CODE
0205051L0AAABAB,Lisinopril,Lisinopril 5mg tablets,02: Cardiovascular System
0205051L0AAACAC,Lisinopril,Lisinopril 10mg tablets,02: Cardiovascular System
0205051L0AAADAD,Lisinopril,Lisinopril 20mg tablets,02: Cardiovascular System
0205051M0AAAAAA,Perindopril erbumine,Perindopril erbumine 2mg tablets,02: Cardiovascular System
0205051M0AAABAB,Perindopril erbumine,Perindopril erbumine 4mg tablets,02: Cardiovascular System
0205051M0AAAFAF,Perindopril erbumine,Perindopril erbumine 8mg tablets,02: Cardiovascular System
0205051R0AAAAAA,Ramipril,Ramipril 1.25mg capsules,02: Cardiovascular System
0205051R0AAABAB,Ramipril,Ramipril 2.5mg capsules,02: Cardiovascular System
0205051R0AAACAC,Ramipril,Ramipril 5mg capsules,02: Cardiovascular System
0205051R0AAADAD,Ramipril,Ramipril 10mg capsules,02: Cardiovascular System
0205051R0AAAKAK,Ramipril,Ramipril 1.25mg tablets,02: Cardiovascular System
0205051R0AAALAL,Ramipril,Ramipril 2.5mg tablets,02: Cardiovascular System
0205051R0AAANAN,Ramipril,Ramipril 10mg tablets,02: Cardiovascular System
0205052AEAAACAC,Sacubitril/valsartan,Sacubitril 24mg / Valsartan 26mg tablets,02: Cardiovascular System
0205052B0AAACAC,Olmesartan medoxomil,Olmesartan medoxomil 40mg tablets,02: Cardiovascular System
0205052C0AAAAAA,Candesartan cilexetil,Candesartan 2mg tablets,02: Cardiovascular System
0205052C0AAABAB,Candesartan cilexetil,Candesartan 4mg tablets,02: Cardiovascular System
0205052C0AAACAC,Candesartan cilexetil,Candesartan 8mg tablets,02: Cardiovascular System
0205052C0AAADAD,Candesartan cilexetil,Candesartan 16mg tablets,02: Cardiovascular System
0205052C0AAAHAH,Candesartan cilexetil,Candesartan 32mg tablets,02: Cardiovascular System
0205052I0AAAAAA,Irbesartan,Irbesartan 75mg tablets,02: Cardiovascular System
0205052I0AAABAB,Irbesartan,Irbesartan 150mg tablets,02: Cardiovascular System
0205052I0AAACAC,Irbesartan,Irbesartan 300mg tablets,02: Cardiovascular System
0205052N0AAAAAA,Losartan potassium,Losartan 25mg tablets,02: Cardiovascular System
0205052N0AAABAB,Losartan potassium,Losartan 50mg tablets,02: Cardiovascular System
0205052N0AAADAD,Losartan potassium,Losartan 100mg tablets,02: Cardiovascular System
0205052V0AAAAAA,Valsartan,Valsartan 40mg capsules,02: Cardiovascular System
0205052V0AAABAB,Valsartan,Valsartan 80mg capsules,02: Cardiovascular System
0205052V0AAACAC,Valsartan,Valsartan 160mg capsules,02: Cardiovascular System
0205052V0AAAHAH,Valsartan,Valsartan 160mg tablets,02: Cardiovascular System
0206010F0AAAHAH,Glyceryl trinitrate,Glyceryl trinitrate 500microgram sublingual tablets,02: Cardiovascular System
0206010F0AACGCG,Glyceryl trinitrate,Glyceryl trinitrate 400micrograms/dose aerosol SL spy,02: Cardiovascular System
0206010F0AACICI,Glyceryl trinitrate,Glyceryl trinitrate 400micrograms/dose pump sublingual spray,02: Cardiovascular System
0206010K0AAAEAE,Isosorbide mononitrate,Isosorbide mononitrate 60mg modified-release tablets,02: Cardiovascular System
0206010K0AAAHAH,Isosorbide mononitrate,Isosorbide mononitrate 25mg modified-release capsules,02: Cardiovascular System
0206010K0BKAAAE,Isosorbide mononitrate,Imdur 60mg modified-release tablets,02: Cardiovascular System
0206010K0CDAAAE,Isosorbide mononitrate,Chemydur 60XL tablets,02: Cardiovascular System
0206020A0AAAAAA,Amlodipine,Amlodipine 5mg tablets,02: Cardiovascular System
0206020A0AAABAB,Amlodipine,Amlodipine 10mg tablets,02: Cardiovascular System
0206020A0AAAVAV,Amlodipine,Amlodipine 2.5mg tablets,02: Cardiovascular System
0206020C0BBACAS,Diltiazem hydrochloride,Tildiem Retard 120mg tablets,02: Cardiovascular System
0206020C0BFADAU,Diltiazem hydrochloride,Adizem-SR 120mg capsules,02: Cardiovascular System
0206020C0BFAFAE,Diltiazem hydrochloride,Adizem-XL 300mg capsules,02: Cardiovascular System
0206020C0BFAGAU,Diltiazem hydrochloride,Adizem-XL 120mg capsules,02: Cardiovascular System
0206020C0BFAHAV,Diltiazem hydrochloride,Adizem-XL 180mg capsules,02: Cardiovascular System
0206020C0BFAIAW,Diltiazem hydrochloride,Adizem-XL 240mg capsules,02: Cardiovascular System
0206020C0BIADAE,Diltiazem hydrochloride,Slozem 300mg capsules,02: Cardiovascular System
0206020C0BMACAV,Diltiazem hydrochloride,Zemtard 180 XL capsules,02: Cardiovascular System
0206020F0BKAAAB,Felodipine,Cardioplen XL 5mg tablets,02: Cardiovascular System
0206020F0BKABAC,Felodipine,Cardioplen XL 10mg tablets,02: Cardiovascular System
0206020F0BKACAD,Felodipine,Cardioplen XL 2.5mg tablets,02: Cardiovascular System
0206020K0AAAAAA,Lacidipine,Lacidipine 2mg tablets,02: Cardiovascular System
0206020K0AAABAB,Lacidipine,Lacidipine 4mg tablets,02: Cardiovascular System
0206020L0AAAAAA,Lercanidipine hydrochloride,Lercanidipine 10mg tablets,02: Cardiovascular System
0206020L0AAABAB,Lercanidipine hydrochloride,Lercanidipine 20mg tablets,02: Cardiovascular System
0206020R0AAAAAA,Nifedipine,Nifedipine 5mg capsules,02: Cardiovascular System
0206020R0AAAMAM,Nifedipine,Nifedipine 10mg modified-release capsules,02: Cardiovascular System
0206020R0BGABAM,Nifedipine,Coracten SR 10mg capsules,02: Cardiovascular System
0206020R0BRADAP,Nifedipine,Adipine XL 60mg tablets,02: Cardiovascular System
0206020T0AAACAC,Verapamil hydrochloride,Verapamil 40mg tablets,02: Cardiovascular System
0206020T0AAAHAH,Verapamil hydrochloride,Verapamil 240mg modified-release tablets,02: Cardiovascular System
0206020T0AAAUAU,Verapamil hydrochloride,Verapamil 120mg modified-release tablets,02: Cardiovascular System
0206030N0AAAAAA,Nicorandil,Nicorandil 10mg tablets,02: Cardiovascular System
0206030N0AAABAB,Nicorandil,Nicorandil 20mg tablets,02: Cardiovascular System
0206030Y0AAAAAA,Ivabradine,Ivabradine 5mg tablets,02: Cardiovascular System
0206030Y0AAACAC,Ivabradine,Ivabradine 2.5mg tablets,02: Cardiovascular System
0206030Z0AAAAAA,Ranolazine,Ranolazine 375mg modified-release tablets,02: Cardiovascular System
0206030Z0AAABAB,Ranolazine,Ranolazine 500mg modified-release tablets,02: Cardiovascular System
0208020V0AAAAAA,Warfarin sodium,Warfarin 1mg tablets,02: Cardiovascular System
0208020V0AAABAB,Warfarin sodium,Warfarin 3mg tablets,02: Cardiovascular System
0208020V0AAADAD,Warfarin sodium,Warfarin 5mg tablets,02: Cardiovascular System
0208020Y0AAAAAA,Rivaroxaban,Rivaroxaban 10mg tablets,02: Cardiovascular System
0208020Y0AAABAB,Rivaroxaban,Rivaroxaban 15mg tablets,02: Cardiovascular System
0208020Y0AAACAC,Rivaroxaban,Rivaroxaban 20mg tablets,02: Cardiovascular System
0208020Z0AAAAAA,Apixaban,Apixaban 2.5mg tablets,02: Cardiovascular System
0208020Z0AAABAB,Apixaban,Apixaban 5mg tablets,02: Cardiovascular System
0209000A0AAABAB,Aspirin,Aspirin 75mg dispersible tablets,02: Cardiovascular System
0209000A0AAAJAJ,Aspirin,Aspirin 75mg tablets,02: Cardiovascular System
0209000A0AAAKAK,Aspirin,Aspirin 75mg gastro-resistant tablets,02: Cardiovascular System
0209000C0AAAAAA,Clopidogrel,Clopidogrel 75mg tablets,02: Cardiovascular System
0209000Y0AAABAB,Prasugrel,Prasugrel 10mg tablets,02: Cardiovascular System
